Quantity,Value,Uncertainty,Unit
alpha particle mass,6.644 655 98 e-27,0.000 000 52 e-27,kg
alpha particle mass energy equivalent,5.971 918 97 e-10,0.000 000 47 e-10,J
alpha particle mass energy equivalent in MeV,3 727.379 04,0.000 15,MeV
alpha particle mass in u,4.001 506 1747,0.000 000 0010,u
alpha particle molar mass,4.001 506 1747 e-3,0.000 000 0010 e-3,kg mol^{-1}
alpha particle-electron mass ratio,7 294.299 508,0.000 016,
alpha particle-proton mass ratio,3.972 599 6846,0.000 000 0011,
Angstrom star,1.000 015 01 e-10,0.000 000 90 e-10,m
atomic mass constant,1.660 538 73 e-27,0.000 000 13 e-27,kg
atomic mass constant energy equivalent,1.492 417 78 e-10,0.000 000 12 e-10,J
atomic mass constant energy equivalent in MeV,931.494 013,0.000 037,MeV
atomic mass unit-electron volt relationship,931.494 013 e6,0.000 037 e6,eV
atomic mass unit-hartree relationship,3.423 177 709 e7,0.000 000 026 e7,E_h
atomic mass unit-hertz relationship,2.252 342 733 e23,0.000 000 017 e23,Hz
atomic mass unit-inverse meter relationship,7.513 006 658 e14,0.000 000 057 e14,m^{-1}
atomic mass unit-joule relationship,1.492 417 78 e-10,0.000 000 12 e-10,J
atomic mass unit-kelvin relationship,1.080 9528 e13,0.000 0019 e13,K
atomic mass unit-kilogram relationship,1.660 538 73 e-27,0.000 000 13 e-27,kg
atomic unit of 1st hyperpolarizablity,3.206 361 57 e-53,0.000 000 14 e-53,C^3 m^3 J^{-2}
atomic unit of 2nd hyperpolarizablity,6.235 381 12 e-65,0.000 000 51 e-65,C^4 m^4 J^{-3}
atomic unit of action,1.054 571 596 e-34,0.000 000 082 e-34,J s
atomic unit of charge density,1.081 202 285 e12,0.000 000 043 e12,C m^{-3}
atomic unit of current,6.623 617 53 e-3,0.000 000 26 e-3,A
atomic unit of electric dipole moment,8.478 352 67 e-30,0.000 000 33 e-30,C m
atomic unit of electric field,5.142 206 24 e11,0.000 000 20 e11,V m^{-1}
atomic unit of electric field gradient,9.717 361 53 e21,0.000 000 39 e21,V m^{-2}
atomic unit of electric polarizablity,1.648 777 251 e-41,0.000 000 018 e-41,C^2 m^2 J^{-1}
atomic unit of electric potential,27.211 3834,0.000 0011,V
atomic unit of electric quadrupole moment,4.486 551 00 e-40,0.000 000 18 e-40,C m^2
atomic unit of energy,4.359 743 81 e-18,0.000 000 34 e-18,J
atomic unit of force,8.238 721 81 e-8,0.000 000 64 e-8,N
atomic unit of length,0.529 177 2083 e-10,0.000 000 0019 e-10,m
atomic unit of magnetic dipole moment,1.854 801 799 e-23,0.000 000 075 e-23,J T^{-1}
atomic unit of magnetic flux density,2.350 517 349 e5,0.000 000 094 e5,T
atomic unit of magnetizability,7.891 036 41 e-29,0.000 000 14 e-29,J T^{-2}
atomic unit of mass,9.109 381 88 e-31,0.000 000 72 e-31,kg
atomic unit of momentum,1.992 851 51 e-24,0.000 000 16 e-24,kg m s^{-1}
atomic unit of permittivity,1.112 650 056 e-10,,F m^{-1}
atomic unit of time,2.418 884 326 500 e-17,0.000 000 000 018 e-17,s
atomic unit of velocity,2.187 691 2529 e6,0.000 000 0080 e6,m s^{-1}
Avogadro constant,6.022 141 99 e23,0.000 000 47 e23,mol^{-1}
Bohr magneton,927.400 899 e-26,0.000 037 e-26,J T^{-1}
Bohr magneton in Hz/T,13.996 246 24 e9,0.000 000 56 e9,Hz T^{-1}
Bohr magneton in K/T,0.671 7131,0.000 0012,K T^{-1}
Bohr magneton in eV/T,5.788 381 749 e-5,0.000 000 043 e-5,eV T^{-1}
Bohr magneton in inverse meters per tesla,46.686 4521,0.000 0019,m^{-1} T^{-1}
Bohr radius,0.529 177 2083 e-10,0.000 000 0019 e-10,m
Boltzmann constant,1.380 6503 e-23,0.000 0024 e-23,J K^{-1}
Boltzmann constant in Hz/K,2.083 6644 e10,0.000 0036 e10,Hz K^{-1}
Boltzmann constant in eV/K,8.617 342 e-5,0.000 015 e-5,eV K^{-1}
Boltzmann constant in inverse meters per kelvin,69.503 56,0.000 12,m^{-1} K^{-1}
characteristic impedance of vacuum,376.730 313 461,,Ohm
classical electron radius,2.817 940 285 e-15,0.000 000 031 e-15,m
Compton wavelength,2.426 310 215 e-12,0.000 000 018 e-12,m
